CountryName	register user
China	2399
USA|Canada	882
Japan	171
Thailand	166
United Kingdom	141
Russia	136
Netherlands	129
Korea Republic	126
Turkey	109
Germany	89
India	81
Australia	70
Croatia	56
Ukraine	54
Hong Kong	49
Switzerland	39
France	36
Philippines	34
Belarus	34
Romania	27
Iran	23
Malaysia	22
Spain	22
Belgium	22
Singapore	21
Vietnam	20
South Africa	18
Nigeria	18
Austria	18
Slovenia	18
Finland	17
Pakistan	17
Italy	16
Bangladesh	15
Indonesia	13
Venezuela	11
Western Sahara	11
New Zealand	10
Denmark	8
Brazil	8
United Arab Emirates	8
Svalbard and Jan Mayen	8
Sweden	8
Serbia	8
Poland	8
Israel	8
Moldova	7
Slovakia	7
Taiwan	7
Ireland	6
Portugal	6
Bulgaria	6
Ghana	5
Argentina	5
Chile	5
Uzbekistan	5
Nepal	4
Lithuania	4
Lebanon	4
Hungary	4
Mexico	3
Tunisia	3
Zimbabwe	3
Greece	3
Georgia	3
Kenya	3
Azerbaijan	3
Turkmenistan	2
Panama	2
Cyprus	2
Egypt	2
Bosnia and Herzegovina	2
Czech Republic	2
Luxembourg	2
Qatar	2
Saudi Arabia	2
Estonia	2
Colombia	2
Macedonia	2
Botswana	2
Guatemala	2
Armenia	2
Jordan	1
Oman	1
Iraq	1
El Salvador	1
Palestine	1
Mongolia	1
Honduras	1
Afghanistan	1
Tajikistan	1
Macau	1
Costa Rica	1
Barbados	1
Peru	1
Kyrgyzstan	1
Haiti	1
Ecuador	1
Tanzania	1
Albania	1
Guyana	1
